Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2021-06-01,2258831,1230127,114759,94923,22308,907698,4705
2021-06-02,2343745,1249102,112503,90821,24325,910385,4772
2021-06-03,2233917,1143159,102751,84815,23026,895524,4419
2021-06-04,2310032,1160335,104564,88908,22743,930743,4308
2021-06-05,1792204,874545,72827,62687,14636,946758,0
2021-06-06,1363344,654780,61866,51469,12514,921829,0
2021-06-07,2223265,1200737,112097,89412,21511,897208,4348
2021-06-08,2265591,1175335,108346,87986,22948,878376,4561
2021-06-09,2386026,1259005,107918,90641,23868,908563,4586
2021-06-10,2473818,1276901,113236,91323,23498,951274,4801
2021-06-11,2468258,1221484,118259,94566,23324,968763,4371
2021-06-12,1775538,849178,68188,61468,14450,919318,0
2021-06-13,1379959,647385,59186,51712,12047,887098,0
2021-06-14,2223186,1176722,115254,91064,21568,869235,4205
2021-06-15,2469785,1277203,117580,96688,23460,917933,4925
2021-06-16,2519444,1288040,119205,94690,24788,945955,4745
2021-06-17,2552497,1281552,121580,98435,23292,973485,4989
2021-06-18,2572013,1235675,122848,104304,22491,989296,4549
2021-06-19,1784312,841519,76508,66134,13949,952944,0
2021-06-20,1389352,652557,76969,60876,13189,951631,0
2021-06-21,2264368,1191844,123918,95740,20512,926300,4601
2021-06-22,2354873,1172110,116165,97637,22293,896868,4648
2021-06-23,2547416,1264095,121867,101864,24223,946870,5027
2021-06-24,2552639,1248843,121542,100509,22842,978351,5045
2021-06-25,2582713,1214123,126722,100537,22400,988675,4712
2021-06-26,1854179,841585,76560,66738,13520,950086,1682
2021-06-27,1559967,656004,75058,62411,11883,900039,1436
2021-06-28,2252362,1152019,122263,101482,20503,924740,4564
2021-06-29,2343739,1169268,119355,97829,21612,930011,4717
2021-06-30,2346388,1139886,119358,99455,23001,945822,4476
2021-07-01,2292461,1104516,114363,90018,22011,933638,4598
2021-07-02,2296044,1121116,116542,94252,21489,920188,4258
2021-07-03,1541988,738089,63827,57381,12676,777262,1768
2021-07-04,1468510,615001,70165,63948,12816,773629,1815
2021-07-05,1495709,770321,78370,59711,10303,838087,2005
2021-07-06,2302002,1181416,127893,100494,22648,903777,4690
2021-07-07,2437064,1234617,122603,99137,23637,926634,5028
2021-07-08,2364250,1164513,116274,93197,22941,897858,4785
2021-07-09,2318387,1115969,109420,88347,20632,888932,4325
2021-07-10,1781717,855908,72964,64429,14518,925950,2204
2021-07-11,1365854,635511,62559,53178,11725,830775,1549
2021-07-12,2245412,1171521,120503,99023,20623,866231,4563
2021-07-13,2457526,1239045,123373,105314,22286,895705,5117
2021-07-14,2517615,1260044,120455,101843,23662,919213,5018
2021-07-15,2581582,1275846,125587,105171,23772,971048,5209
2021-07-16,2536569,1219118,123465,104331,21730,983846,4626
2021-07-17,1717480,795347,73001,64513,13228,897001,0
2021-07-18,1405344,640618,67362,56174,11313,838604,0
2021-07-19,2327756,1208792,126653,103403,20276,897298,4717
2021-07-20,2462002,1217802,125809,107009,22213,924495,5015
2021-07-21,2504568,1225595,121530,104862,22865,914902,4934
2021-07-22,2582151,1279778,127275,102275,23122,963493,5187
2021-07-23,2552330,1219255,130474,101070,22314,985198,4713
2021-07-24,1852402,856250,84852,68579,14042,950568,0
2021-07-25,1364830,625645,66417,53090,11419,864361,0
2021-07-26,2318455,1219135,129875,101260,19910,907205,4714
2021-07-27,2487947,1267804,128262,102950,22609,918908,5132
2021-07-28,2534756,1276296,126767,99976,23145,932094,5004
2021-07-29,2428764,1186642,120318,94716,22164,918380,4743
2021-07-30,2557677,1235623,131905,103531,22127,988596,4812
2021-07-31,1841007,857333,85371,67121,13932,953445,0
2021-08-01,1351294,629963,66030,51978,11627,869092,0
2021-08-02,2333923,1208484,126151,102349,19824,903514,4799
2021-08-03,2483802,1262043,123949,103249,22828,904753,5262
2021-08-04,2529002,1257876,123700,99332,23611,921068,5016
2021-08-05,2529190,1259332,119999,98290,22610,956306,5097
2021-08-06,2519444,1222343,123238,101218,22179,979833,4500
2021-08-07,1780458,836715,76835,67267,14108,923751,0
2021-08-08,1333885,598574,61066,54265,11934,843489,0
2021-08-09,2289434,1183050,109865,95599,20540,891525,4845
2021-08-10,2442194,1245670,122544,95330,23079,905508,5037
2021-08-11,2475949,1246306,119708,94737,23338,931264,4928
2021-08-12,2448589,1223666,119717,90818,22427,965578,4764
2021-08-13,2430102,1189426,123849,91861,21336,973883,4522
2021-08-14,1718222,811826,75664,57650,13157,904780,0
2021-08-15,1430620,661705,72983,54362,12395,918288,0
2021-08-16,2287627,1170216,123942,100258,20087,910779,4769
2021-08-17,2427611,1209633,120737,103616,22245,909180,5081
2021-08-18,2445638,1210760,117216,97853,22715,917872,4878
2021-08-19,2439624,1194375,117409,93036,21838,939085,4871
2021-08-20,2456334,1183308,124627,99533,21451,969814,4590
2021-08-21,1715030,822340,72843,61997,13046,941331,1409
2021-08-22,745240,369246,27528,16121,7979,489334,560
2021-08-23,2052669,1032792,110003,84223,18809,821654,4062
2021-08-24,2462365,1234884,130591,98325,22679,942935,5041
2021-08-25,2498255,1236342,127392,93307,23351,957036,5165
2021-08-26,2480137,1222996,122067,91039,22068,950534,4995
2021-08-27,2388210,1147249,119665,90532,21211,973335,4392
2021-08-28,1659434,776489,68988,56208,12760,890293,1661
2021-08-29,1398566,630281,68832,54068,11558,890505,2076
2021-08-30,2321000,1182908,131574,97092,19224,911105,4695
2021-08-31,2532584,1246463,133641,99949,22724,936181,5390
2021-09-01,2294448,1086148,118437,90598,20878,811053,4551
2021-09-02,1661558,1188941,105647,37898,21179,851145,2620
2021-09-03,2390392,1221668,139807,97937,22585,1014806,4450
2021-09-04,1777639,834456,84764,57137,13382,927358,2104
2021-09-05,1415352,618622,71004,45169,11931,832200,1541
2021-09-06,1521388,733947,77906,51338,10077,812884,1966
2021-09-07,2233674,1102372,137623,113742,21143,902400,4795
2021-09-08,2529619,1192895,135722,110925,22354,896020,5228
2021-09-09,2702713,1249341,139547,111708,23653,911040,5378
2021-09-10,2840443,1322430,150895,113495,23037,995486,5377
2021-09-11,1983091,870791,82235,65329,13070,917704,2182
2021-09-12,1589976,694561,77028,58979,12239,899864,1679
2021-09-13,2852796,1441516,147829,122504,21898,914827,6133
2021-09-14,3011275,1511145,144904,120532,23132,908024,6672
2021-09-15,2987334,1503627,139927,116413,23966,904733,6410
2021-09-16,2534545,1210069,127995,107680,20826,864413,5308
2021-09-17,3028545,1456201,142120,119349,23282,982085,6131
2021-09-18,2014848,871175,77267,76288,14054,949178,2582
2021-09-19,1596823,674024,69397,64139,12612,914623,1897
2021-09-20,2883211,1481676,148068,122101,21889,895109,6548
2021-09-21,3018312,1505803,142672,123923,22399,860050,6998
2021-09-22,3021113,1506211,139853,120056,23157,872883,6812
2021-09-23,3016106,1483075,140127,115473,23031,915198,6724
2021-09-24,3121747,1469705,142827,116730,21941,986694,6294
2021-09-25,2129492,872490,88460,81282,13909,953628,2719
2021-09-26,1614677,657257,80069,64937,12034,895286,2238
2021-09-27,2873368,1489441,146154,121534,21209,881116,6715
2021-09-28,2927715,1457421,141188,118253,21727,831192,6827
2021-09-29,3063720,1513184,137483,120032,23323,886785,6789
2021-09-30,3146861,1516081,144838,121842,23555,953501,7104
2021-10-01,3162881,1492942,140003,116182,23098,985786,6325
2021-10-02,2063660,883902,86563,80946,14145,923455,2562
2021-10-03,1575738,673253,74851,66758,12936,887540,1904
2021-10-04,2864349,1419155,152598,121256,21794,871945,6591
2021-10-05,3091160,1499767,150226,124670,23644,887129,7027
2021-10-06,3140986,1532668,149640,123097,24677,913993,6972
2021-10-07,3190747,1523168,150072,121407,24571,951212,7298
2021-10-08,3168473,1473912,153755,123609,23356,1001210,6660
2021-10-09,2052699,856308,84631,81969,13634,919384,47
2021-10-10,1499385,601821,65636,59049,11794,806025,166
2021-10-11,2263615,1045865,131714,114458,16917,878443,3883
2021-10-12,3102879,1514608,154602,128194,23848,910639,7292
2021-10-13,3157457,1511356,151319,124790,24396,907632,7198
2021-10-14,3240686,1527543,154572,126815,24144,952876,7386
2021-10-15,3227068,1491099,150932,124654,23251,990940,6786
2021-10-16,2042027,856990,83415,74913,13307,896392,2369
2021-10-17,1629991,663944,74826,69729,12564,891527,1853
2021-10-18,2982883,1461843,153681,127381,21454,889996,6810
2021-10-19,3178208,1510722,153382,129993,23403,899389,7250
2021-10-20,3234327,1525608,155242,131127,24474,916246,7148
2021-10-21,3267697,1476434,149850,127259,24007,948652,7498
2021-10-22,3225816,1471199,145810,126554,22843,986548,6297
2021-10-23,2077488,847596,74720,82865,13556,914737,2243
2021-10-24,1599927,659283,69611,68154,12314,883371,1908
2021-10-25,2994936,1461023,158330,125755,21724,883887,7026
2021-10-26,2702635,1233660,130109,104517,21220,738636,5278
2021-10-27,3300580,1503535,155865,129881,24144,914494,7054
2021-10-28,3365971,1515489,159574,132170,24814,959835,7605
2021-10-29,3251779,1426938,153317,122632,22477,963442,6597
2021-10-30,2044310,819620,76471,69281,12642,854656,2177
2021-10-31,1746769,656203,68674,66300,12233,824978,1910
2021-11-01,3034306,1448304,158356,131251,21387,898451,6783
2021-11-02,2848222,1258180,147832,129297,22016,853432,5679
2021-11-03,3293732,1507287,154203,130954,23349,901230,7371
2021-11-04,3284315,1486942,151353,126533,24009,931012,7210
2021-11-05,3293438,1457014,150227,121824,23009,966007,6769
2021-11-06,2195864,864499,84943,80784,13672,910587,2410
2021-11-07,1888985,614513,81181,72175,10647,780686,2978
2021-11-08,3065533,1461178,159723,131127,22136,889544,6921
2021-11-09,3279457,1518264,157181,134070,24504,898518,7677
2021-11-10,3351992,1514453,159254,134400,24608,926005,7445
2021-11-11,2922235,1198235,143386,122940,19846,895643,5493
2021-11-12,3158682,1350608,141671,117650,21598,919941,6082
2021-11-13,2169863,815114,80829,74296,13124,869112,2286
2021-11-14,1703136,657129,72488,62856,12460,858311,1772
2021-11-15,3110969,1437414,160952,132234,22208,890524,6792
2021-11-16,3340844,1492110,161362,137235,23694,902386,7472
2021-11-17,3369069,1501740,158372,131113,24396,915266,7453
2021-11-18,3412249,1505488,157433,132632,24071,959226,7511
2021-11-19,3316999,1429787,151795,127093,22662,987149,6842
2021-11-20,2135731,861772,94412,82894,13195,915131,2367
2021-11-21,1674206,674551,80467,66859,12774,841901,1827
2021-11-22,3130363,1418226,156874,127776,21441,901942,6896
2021-11-23,3286591,1424890,162241,136562,22574,989345,7194
2021-11-24,3085289,1343391,165349,139391,21002,992568,6589
2021-11-25,1357198,509782,125417,69945,15459,861084,1990
2021-11-26,2089772,843588,128452,108747,11077,789915,3205
2021-11-27,1880422,750986,83676,76112,10620,850980,2216
2021-11-28,1465745,592081,75197,65128,10481,825585,1669
2021-11-29,2996015,1381661,166154,132498,21124,900399,6692
2021-11-30,3207209,1432539,166738,136630,22469,897216,7124
2021-12-01,3326469,1463384,163163,136126,23347,899319,7266
2021-12-02,3358843,1449142,154723,127508,22540,923179,7290
2021-12-03,3374097,1419078,144500,119424,22518,940827,6442
2021-12-04,2318147,864764,91477,81392,13317,864918,56
2021-12-05,1737352,665129,72716,60526,12541,818544,193
2021-12-06,3135869,1394230,154970,127260,21761,865595,6687
2021-12-07,3367790,1453136,153749,131033,23262,883027,7367
2021-12-08,3378727,1430106,156218,130222,22691,889409,6948
2021-12-09,3433600,1436883,154367,126159,22743,927903,7222
2021-12-10,3417451,1404176,152524,127711,22237,962125,6331
2021-12-11,2266265,786137,91894,81068,13396,863814,2291
2021-12-12,1829872,627007,80874,66471,12189,828121,1833
2021-12-13,3120850,1333718,153387,129698,21617,874293,6769
2021-12-14,3274170,1378221,154939,131812,23042,894669,7124
2021-12-15,3242168,1436154,153128,129761,23732,921048,6908
2021-12-16,3219799,1438193,152710,126131,23623,948535,7043
2021-12-17,3112088,1375383,146111,121037,22539,968689,6404
2021-12-18,1880969,786073,74306,66097,12312,832994,1987
2021-12-19,1579809,636393,65698,56292,12238,784051,1694
2021-12-20,2716451,1277654,132078,102695,20318,856849,5979
2021-12-21,2697325,1299476,124376,97141,21656,866595,5772
2021-12-22,2634565,1252621,117678,92941,21673,878197,5594
2021-12-23,2486489,1166953,118388,97238,19335,899513,5000
2021-12-24,1575449,746809,97408,81055,12009,738612,2289
2021-12-25,810937,329549,39466,31575,9021,582582,1008
2021-12-26,1284738,518897,56467,51478,8744,673477,1746
2021-12-27,2007649,890096,108463,89427,14952,744547,4026
2021-12-28,2168419,953933,109904,89719,16736,764364,4372
2021-12-29,2167077,921562,105898,92605,16859,768653,3996
2021-12-30,2198415,928012,110101,90827,16177,804654,3944
2021-12-31,1627589,699749,96699,85232,11498,628305,2270
2022-01-01,1027918,350845,33980,30341,4904,498515,1262
2022-01-02,1219735,475096,49155,42587,8383,624655,1571
2022-01-03,2168229,1000002,102961,83990,16437,692740,4515
2022-01-04,2289352,1082360,104247,81978,17909,733369,4795
2022-01-05,2267942,1078511,98251,77579,18861,709060,4659
2022-01-06,2391176,1146904,103562,82567,18672,780026,4909
2022-01-07,2121941,880997,90207,73067,14203,559774,3628
2022-01-08,1486065,631341,51707,46428,9126,641533,1672
2022-01-09,1102472,475438,43383,35309,7916,567494,1210
2022-01-10,2347323,1147341,116463,90220,18268,762712,4954
2022-01-11,2266378,1040581,104378,81438,17388,753381,4655
2022-01-12,2459224,1179931,111022,86050,19679,784901,5024
2022-01-13,2524197,1218552,112519,87672,19918,821641,5132
2022-01-14,2522972,1186647,109199,88634,18878,866901,4774
2022-01-15,1434676,573037,53410,45309,9510,703293,1449
2022-01-16,1165626,456257,43578,38025,8545,621361,1140
2022-01-17,1600048,694066,98738,44075,8760,649397,2190
2022-01-18,2541044,1222195,125615,100364,19389,815605,5381
2022-01-19,2642129,1286788,121249,96281,21111,829778,5598
2022-01-20,2545486,1181953,112595,88196,18616,766608,5031
2022-01-21,2565781,1151816,113474,91079,19079,864079,4748
2022-01-22,1583650,655490,59412,53737,10455,735629,1642
2022-01-23,1245716,529115,48672,43647,9446,685007,1245
2022-01-24,2536827,1244112,127750,100520,19472,791390,5188
2022-01-25,2701246,1308979,124499,98859,21233,817021,5625
2022-01-26,2711803,1266798,118625,96253,21033,833936,5197
2022-01-27,2724979,1275573,119039,95748,20934,869615,5271
2022-01-28,2703403,1208092,120912,96409,20115,866261,4994
2022-01-29,999347,271959,8142,22016,5353,174348,852
2022-01-30,1262477,460299,47852,45002,5974,506466,1233
2022-01-31,2575762,1139164,132248,109718,18400,777628,4968
2022-02-01,2635083,1127084,135255,111424,20357,804390,4993
2022-02-02,2940152,1314898,140059,110996,22427,846701,5830
2022-02-03,2914198,1304726,126901,104093,22325,853193,5750
2022-02-04,2725725,1176367,117899,94290,18557,781068,5072
2022-02-05,1792780,726750,61201,61496,11377,775134,1835
2022-02-06,1323892,558211,51472,48395,10621,744779,1388
2022-02-07,2784230,1297024,136455,111297,21120,809094,5711
2022-02-08,3016648,1387432,141653,119190,22667,851665,6254
2022-02-09,3088775,1421706,143673,115341,23863,868057,6297
2022-02-10,3112489,1423775,143062,115707,23341,905812,6362
2022-02-11,3015472,1348189,131038,110674,22608,939270,5570
2022-02-12,2026308,820629,71709,71813,13376,867255,2295
2022-02-13,1349864,510307,50534,46395,10013,655107,1322
2022-02-14,2907825,1272100,142507,113260,20812,862473,5803
2022-02-15,3030742,1340123,146607,119034,21922,873240,6447
2022-02-16,3100639,1406714,140431,115325,23513,875377,6337
2022-02-17,3109956,1408571,141226,115718,23713,911310,6527
2022-02-18,2953785,1285978,129403,112030,21470,947650,5677
2022-02-19,1792136,723602,64696,66545,12171,813140,2108
2022-02-20,1477125,571789,55015,54863,11017,768971,1517
2022-02-21,1942267,873961,109882,63892,12500,816227,2781
2022-02-22,2669508,1143526,135406,112764,19233,846877,5767
2022-02-23,2894245,1247209,140229,119188,23807,892767,6116
2022-02-24,2858146,1196924,132496,110395,21868,911720,5879
2022-02-25,2575630,1027563,114658,90953,18740,794852,4544
2022-02-26,1824833,775358,71783,61573,12226,847294,2012
2022-02-27,1403227,604646,62913,51604,11337,802377,1523
2022-02-28,2915786,1362855,134902,118572,21929,859177,6170
2022-03-01,3138181,1435834,165769,150787,22944,873348,6655
2022-03-02,3208166,1463263,159238,140945,24289,896503,6680
2022-03-03,3207495,1434851,152883,132506,23800,923154,6674
2022-03-04,3077537,1363159,145518,125143,22821,957694,5807
2022-03-05,1955535,812774,69010,70427,13269,865292,2116
2022-03-06,1444501,600501,53034,52874,12557,787598,1550
2022-03-07,2980920,1395540,153907,129784,22465,861409,6161
2022-03-08,3244473,1456451,158652,138811,24076,894132,6923
2022-03-09,3113559,1338822,153393,129056,23477,832720,6200
2022-03-10,3339363,1476288,163931,140107,24515,945191,6914
2022-03-11,3195956,1419371,158985,135371,23736,986555,6150
2022-03-12,1663893,637601,51679,59927,10655,669502,1748
2022-03-13,1479406,590753,59964,57548,11491,792377,1524
2022-03-14,3008800,1406578,159962,134093,22480,879699,6416
2022-03-15,3275906,1454522,171406,146786,24272,906028,7287
2022-03-16,3332335,1476356,168768,145085,25305,914284,7009
2022-03-17,3175784,1350810,166884,135727,22946,888875,6768
2022-03-18,3275433,1402806,163169,137528,24019,978491,6288
2022-03-19,2001839,820933,74087,73974,12877,872810,2050
2022-03-20,1656673,628693,67551,63818,12736,879711,1722
2022-03-21,3034759,1418900,165487,134182,22229,880846,6367
2022-03-22,3276940,1471299,168328,144765,23948,891089,7082
2022-03-23,3275708,1438665,161202,138873,24574,891509,6540
2022-03-24,3212181,1373850,162392,134129,22998,900384,6513
2022-03-25,3218970,1397899,158528,133368,23274,967743,6075
2022-03-26,2024596,783499,71809,73933,13208,875353,2154
2022-03-27,1534056,628313,64950,58044,11809,830360,1602
2022-03-28,2989874,1336330,153222,130886,22114,868259,6096
2022-03-29,3291883,1430099,163218,143870,23981,886086,6900
2022-03-30,3336073,1465351,164882,143216,24620,913063,6920
2022-03-31,3323135,1450363,164074,139602,24308,941530,6890
2022-04-01,3237107,1411421,145251,120557,24017,972802,5972
2022-04-02,2128435,879513,77205,80471,14382,893814,2484
2022-04-03,1463932,607152,58819,53761,12947,790600,1419
2022-04-04,3127667,1447820,159541,135920,23746,899510,6676
2022-04-05,3356454,1484961,170140,150671,24873,904813,7089
2022-04-06,3311547,1403198,163830,142810,25103,890470,6569
2022-04-07,3307076,1379678,161276,140249,24107,901454,6636
2022-04-08,3347754,1443367,160905,140791,24488,998348,6342
2022-04-09,2190396,868945,81562,86611,13969,897690,66
2022-04-10,1707748,667662,63204,66112,13935,850153,13
2022-04-11,3205728,1433226,161131,140224,23569,901316,6354
2022-04-12,3078069,1496004,172294,149369,25286,936334,7099
2022-04-13,3220964,1495891,163448,147043,25847,949712,6593
2022-04-14,3297697,1438990,162946,144335,25073,982717,6381
2022-04-15,2761532,1137728,166068,140217,20908,973156,4728
2022-04-16,1986306,830874,89011,83725,13413,885536,2133
2022-04-17,1512633,596619,71258,71704,14704,845418,1640
2022-04-18,2676254,1145261,154315,139151,20245,901207,5209
2022-04-19,2962130,1189960,168354,151518,22359,895086,5841
2022-04-20,3098046,1265823,171730,155674,24212,942383,6097
2022-04-21,3033422,1231047,165823,147535,23239,920202,5738
2022-04-22,2985684,1217380,157943,145606,22298,935779,5340
2022-04-23,2109188,844146,79436,89804,13459,907580,59
2022-04-24,1655860,648591,64842,67580,12927,875218,3
2022-04-25,3026541,1415638,159569,138979,22370,883942,6322
2022-04-26,3281657,1453452,172171,153893,23800,897493,7024
2022-04-27,3432282,1500437,172613,153109,25229,934481,6903
2022-04-28,3404938,1468093,167300,146321,24321,968651,6765
2022-04-29,3257634,1429909,164944,136881,23421,994415,5900
2022-04-30,2108746,884540,82887,82838,14223,938739,2123
2022-05-01,1683953,676070,64630,62502,12976,870826,2694
2022-05-02,2732825,1176867,146394,126784,21695,883276,5425
2022-05-03,3402882,1500109,177868,155261,24680,929868,7400
2022-05-04,3364902,1465639,168539,147078,25462,921590,6747
2022-05-05,3502522,1523580,174640,150087,25903,982930,7061
2022-05-06,3190556,1353750,154325,129417,23411,953902,5729
2022-05-07,1842808,706551,72948,68612,13033,841086,1523
2022-05-08,1582133,630228,73703,73027,15375,891361,1449
2022-05-09,3114506,1428758,163741,140940,22008,917036,6564
2022-05-10,3412902,1504314,175823,158627,24148,933451,7176
2022-05-11,3440378,1514922,178061,156792,25548,948266,7159
2022-05-12,3430104,1495220,169543,149204,25158,981139,6866
2022-05-13,3252002,1410923,164843,140065,23539,998394,6050
2022-05-14,2149046,840921,89636,86652,13580,918398,69
2022-05-15,1760359,692876,76052,69705,13379,908702,5
2022-05-16,3080043,1396300,163431,140702,22187,898690,5996
2022-05-17,3536021,1519740,182683,162082,24353,951399,7259
2022-05-18,3605606,1511142,182181,161135,25365,982156,6816
2022-05-19,3467327,1426027,172517,149985,24271,983011,6790
2022-05-20,3271914,1396732,175666,146403,23767,1011794,6040
2022-05-21,2324245,883795,94322,92552,14985,983575,2530
2022-05-22,1760638,683500,78635,72063,13279,920057,1863
2022-05-23,3111755,1431781,170546,151349,22696,943933,6356
2022-05-24,3378506,1488152,182570,163943,24560,942307,7023
2022-05-25,3426530,1493506,178124,158814,25418,959442,6862
2022-05-26,3341059,1464696,176469,148011,24866,1001574,6549
2022-05-27,3031130,1353398,167840,135294,22894,975898,5737
2022-05-28,1872775,788135,91250,77192,12805,833464,2191
2022-05-29,1755236,701173,84784,76982,14490,891666,2276
2022-05-30,1694970,755616,80533,68206,10771,839398,2251
2022-05-31,3176109,1426470,184088,163018,23778,968335,6634
2022-06-01,3381297,1465383,178742,159050,25586,943747,7084
2022-06-02,3351902,1433303,170537,151492,24764,959324,6783
2022-06-03,3283271,1431042,174500,153744,24838,1002106,6178
2022-06-04,2178024,904623,93431,92199,14409,957009,1844
2022-06-05,1724983,691644,75675,74005,13955,865693,1361
2022-06-06,3092181,1411725,167062,148152,22794,892799,6552
2022-06-07,3392224,1440940,185736,163756,25256,940766,7169
2022-06-08,3492805,1496144,181126,162417,26058,958676,7114
2022-06-09,3297157,1333103,179521,157460,25135,975009,6430
2022-06-10,3376125,1435660,187819,159223,25437,1028117,6304
2022-06-11,2231451,870550,117891,95108,14776,961805,1835
2022-06-12,1674607,626471,80792,74580,13440,883990,1209
2022-06-13,3168681,1440429,174264,150375,23697,943626,6608
2022-06-14,3494822,1493761,191198,174340,25372,954427,7276
2022-06-15,3526802,1478668,192593,169462,26904,965644,7153
2022-06-16,3409624,1397317,190212,162513,25856,993952,6720
2022-06-17,3247379,1397243,187179,148590,24338,1036376,6036
2022-06-18,2186635,884050,106091,94130,15136,987511,2613
2022-06-19,1725762,693231,90581,80654,15622,946443,1903
2022-06-20,2460659,1077190,167670,138080,15440,942148,4009
2022-06-21,3339793,1408052,190339,172400,25299,951906,7183
2022-06-22,3357113,1361456,178850,164196,25774,937068,6910
2022-06-23,3407485,1382605,188546,169144,25286,1004103,6716
2022-06-24,3296412,1331442,187818,161647,24414,1035312,6066
2022-06-25,2286963,888953,106000,102466,15274,994834,50
2022-06-26,2011977,696910,102452,99103,14574,962670,618
2022-06-27,2932598,1279403,171627,149284,22331,928436,6260
2022-06-28,3248338,1328144,199956,174878,24179,960666,6903
2022-06-29,3249261,1325530,191855,169146,25392,977984,6792
2022-06-30,3151572,1300241,191868,158265,24651,1011864,6407
2022-07-01,2827549,1221837,151245,117791,23983,998259,5291
2022-07-02,1847093,827668,84481,75179,12878,823425,2042
2022-07-03,1654774,703282,86602,73949,14822,845877,1909
2022-07-04,1608084,689986,85709,72464,10976,772949,2148
2022-07-05,2802814,1246208,169990,150170,22800,925869,5935
2022-07-06,3066462,1330990,173648,153543,25372,917894,6448
2022-07-07,3115604,1333373,173393,151105,25119,946553,6463
2022-07-08,2902322,1249434,163715,134620,24108,949529,5625
2022-07-09,2061419,885289,92765,89757,14546,917802,2563
2022-07-10,1681041,707984,82276,71195,14147,921110,2016
2022-07-11,2876587,1312895,167475,148113,23255,913992,6163
2022-07-12,3148320,1350346,180172,164494,24697,913137,6780
2022-07-13,3229387,1365172,178413,166187,25800,944299,6536
2022-07-14,3203104,1355975,174794,159599,25312,977841,6413
2022-07-15,3021651,1291217,171615,148858,24177,994183,5527
2022-07-16,2093206,859537,101758,98156,15226,939649,64
2022-07-17,1674922,701796,82028,80166,13868,900361,7
2022-07-18,2720012,1209240,162178,132779,22670,877737,5543
2022-07-19,3169016,1372407,180693,160294,24933,932398,6593
2022-07-20,3190942,1357383,180707,156988,25590,945289,6167
2022-07-21,3109097,1302978,173070,150414,24308,954280,6166
2022-07-22,2942752,1267907,174861,138068,23926,993037,5322
2022-07-23,2028696,862976,99341,86245,14503,945847,32
2022-07-24,1596195,674189,82656,68265,12751,908767,6
2022-07-25,2727722,1220826,163454,140432,22355,893016,5692
2022-07-26,3175001,1360570,186182,162994,24990,942025,6479
2022-07-27,3232796,1369023,185332,161241,25759,957557,6667
2022-07-28,3151913,1332113,173264,156936,24413,974290,6421
2022-07-29,2932846,1260714,166723,147568,23697,979719,5532
2022-07-30,2074421,893846,89426,96840,15068,954809,56
2022-07-31,1649097,693700,77991,78953,14046,929822,3
2022-08-01,2739262,1240007,151752,138431,22892,904119,5673
2022-08-02,3070101,1346324,173023,158236,24865,919127,6452
2022-08-03,3124038,1367848,173751,158305,26785,947338,6170
2022-08-04,3049076,1323229,174491,147770,25326,976459,5409
2022-08-05,2822155,1260961,161323,129376,23824,976443,4754
2022-08-06,1999580,865676,95704,84495,14893,944842,33
2022-08-07,1542311,670866,78449,66242,14367,882525,153
2022-08-08,2705428,1276524,165363,137457,22965,926426,5496
2022-08-09,3013784,1308034,173284,151624,25056,922400,5935
2022-08-10,3134434,1347916,178656,147931,26098,948711,6117
2022-08-11,3093548,1315101,171390,146019,25553,966856,5842
2022-08-12,2963913,1273620,175220,137578,24849,996504,5422
2022-08-13,2089217,878499,103227,89569,15889,953867,1632
2022-08-14,1677803,692644,88242,72900,14492,931953,1339
2022-08-15,2768347,1234308,161519,144170,23199,921408,5395
2022-08-16,3045892,1288800,173651,157888,24994,919835,6228
2022-08-17,3074027,1284966,172248,155815,25904,935484,6080
2022-08-18,3077928,1283965,181136,150643,25701,982598,5834
2022-08-19,2918737,1239929,164682,141791,24141,995590,5132
2022-08-20,2038622,875371,96552,97718,15903,952947,1699
2022-08-21,1619422,692309,84669,81666,14617,918196,1272
2022-08-22,2622885,1144254,160918,141482,21887,884589,5185
2022-08-23,2992615,1261782,173898,155953,24448,921483,5903
2022-08-24,3020710,1288092,177790,151169,25654,946975,6036
2022-08-25,3090901,1310134,177178,142659,24964,981024,6122
2022-08-26,2863653,1217448,171765,133306,23417,967932,4969
2022-08-27,2066542,874084,103192,90006,15575,977708,2214
2022-08-28,1651689,681823,86867,76296,14506,940460,1816
2022-08-29,2836374,1263000,180588,140540,22503,927114,5705
2022-08-30,3091873,1326293,195986,152025,24300,934163,6228
2022-08-31,3144027,1342568,197154,149499,25541,972327,6261
2022-09-01,3114667,1338287,186311,140082,25382,997846,6189
2022-09-02,2925306,1250956,185153,138009,24696,1006354,5307
2022-09-03,2116811,867750,116405,94997,15863,924383,2455
2022-09-04,1802349,701646,97728,77386,15428,901892,1894
2022-09-05,1691887,682671,93198,74585,9722,801463,1977
2022-09-06,3063503,1231759,190260,164255,24963,892569,6016
2022-09-07,3444556,1412342,203983,179628,26773,939358,6698
2022-09-08,3644407,1517502,199489,178788,27121,966189,7185
2022-09-09,3481756,1492297,189930,161197,25627,1009058,6432
2022-09-10,2356865,914744,103789,98043,15345,982329,1948
2022-09-11,1737251,659929,82638,72789,14467,862493,1275
